Height;Volume
0;0
19;55
37;128
57;210
75;304
94;408
114;521
132;645
151;777
170;918
188;1067
208;1225
227;1389
245;1562
264;1740
283;1927
302;2118
321;2316
339;2519
359;2729
377;2942
396;3161
415;3385
434;3613
453;3845
472;4082
490;4321
510;4565
529;4812
547;5062
566;5317
585;5574
604;5834
623;6097
641;6363
661;6631
679;6902
698;7175
717;7450
736;7728
755;8009
774;8291
792;8575
812;8861
831;9149
849;9438
868;9730
886;10023
906;10318
925;10615
943;10913
963;11212
981;11513
1000;11815
1019;12118
1037;12423
1057;12728
1076;13035
1094;13343
1114;13652
1133;13962
1151;14273
1170;14584
1188;14897
1208;15210
1227;15523
1245;15839
1264;16153
1283;16469
1302;16786
1321;17103
1339;17420
1359;17737
1378;18055
1396;18373
1415;18691
1435;19011
1453;19329
1472;19647
1490;19967
1510;20286
1529;20604
1547;20923
1566;21242
1585;21560
1604;21879
1623;22197
1641;22514
1661;22831
1680;23148
1698;23463
1717;23779
1737;24095
1755;24409
1774;24724
1792;25037
1812;25349
1831;25661
1849;25971
1868;26282
1886;26590
1906;26898
1925;27205
1943;27512
1963;27817
1982;28121
2000;28423
2019;28725
2039;29026
2057;29324
2076;29621
2094;29918
2114;30212
2133;30505
2151;30796
2170;31085
2188;31373
2208;31659
2227;31943
2245;32225
2264;32506
2284;32783
2302;33058
2321;33330
2341;33601
2359;33868
2378;34131
2396;34391
2415;34648
2435;34901
2453;35150
2472;35394
2490;35633
2510;35867
2529;36094
2547;36316
2566;36530
2586;36738
2604;36938
2623;37130
2643;37314
2661;37489
2680;37657
2698;37816
2717;37968
2737;38113
2755;38252
2774;38386
2792;38517
2812;38643
2831;38770
2849;38895
2868;39023
2888;39151
2906;39283
2925;39419
2944;39558
2963;39701
2982;39848
3000;40000
